Step,Time,Roll,Pitch,Yaw,M1,M2,M3,M4,Target_Roll,Target_Pitch
72,0.5625,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
73,0.570312,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
74,0.578125,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
75,0.585938,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
76,0.59375,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
77,0.601562,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
78,0.609375,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
79,0.617188,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
80,0.625,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
81,0.632812,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
82,0.640625,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
83,0.648438,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
84,0.65625,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
85,0.664062,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
86,0.671875,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
87,0.679688,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
88,0.6875,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
89,0.695312,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
90,0.703125,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
91,0.710938,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
92,0.71875,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
93,0.726562,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
94,0.734375,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
95,0.742188,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
96,0.75,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
97,0.757812,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
98,0.765625,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
99,0.773438,0,-0.0117188,0,0.773438,0.226562,0.773438,0.226562,0,0.0976562
